Сценарий;Стратегия;Среднее значение (задачи);Медиана (задачи);Среднее значение (энергия);Медиана (энергия)
equal;RL (Q-learning);0.284671;0.282993;0.228349;0.228293
equal;Минимизация ВрЗ;0.354610;0.354610;0.305895;0.305895
equal;Прямого перебора;0.000000;0.000000;0.175452;0.175452
equal;Рыночных методов;0.275177;0.275177;0.225023;0.225023
equal;Энергосберегающая;0.300000;0.300000;0.220573;0.220573
max;RL (Q-learning);0.361113;0.365517;0.351648;0.354137
max;Минимизация ВрЗ;0.453801;0.453801;0.433959;0.433959
max;Прямого перебора;0.000000;0.000000;0.118090;0.118090
max;Рыночных методов;0.353216;0.353216;0.341978;0.341978
max;Энергосберегающая;0.336842;0.336842;0.328922;0.328922
min;Минимизация ВрЗ;0.182857;0.182857;0.095498;0.095498
min;Прямого перебора;0.000000;0.000000;0.291919;0.291919
min;Рыночных методов;0.179167;0.179167;0.076330;0.076330
min;Энергосберегающая;0.217886;0.217886;0.078519;0.078519
min;RL (Q-learning);0.157771;0.151852;0.078751;0.078519
