Сценарий;Стратегия;Шаг;Джини (задачи);Джини (энергия)
equal;RL (Q-learning);1;0.285714;0.228293
equal;RL (Q-learning);2;0.285714;0.228293
equal;RL (Q-learning);3;0.282993;0.228293
equal;RL (Q-learning);4;0.282993;0.228293
equal;RL (Q-learning);5;0.282993;0.228293
equal;RL (Q-learning);6;0.287582;0.220573
equal;RL (Q-learning);7;0.282993;0.232991
equal;RL (Q-learning);8;0.282993;0.228293
equal;RL (Q-learning);9;0.296000;0.228293
equal;RL (Q-learning);10;0.282993;0.232991
equal;RL (Q-learning);11;0.282993;0.228293
equal;RL (Q-learning);12;0.282993;0.228293
equal;RL (Q-learning);13;0.272222;0.228293
equal;RL (Q-learning);14;0.296000;0.228293
equal;RL (Q-learning);15;0.296000;0.228293
equal;RL (Q-learning);16;0.272222;0.228293
equal;RL (Q-learning);17;0.296000;0.228293
equal;RL (Q-learning);18;0.282993;0.228293
equal;RL (Q-learning);19;0.282993;0.228293
equal;RL (Q-learning);20;0.282993;0.228293
equal;RL (Q-learning);21;0.272222;0.228293
equal;RL (Q-learning);22;0.298667;0.228293
equal;RL (Q-learning);23;0.298667;0.228293
equal;RL (Q-learning);24;0.282993;0.228293
equal;RL (Q-learning);25;0.282993;0.228293
equal;RL (Q-learning);26;0.282993;0.228293
equal;RL (Q-learning);27;0.282993;0.228293
equal;RL (Q-learning);28;0.272222;0.228293
equal;RL (Q-learning);29;0.282993;0.228293
equal;RL (Q-learning);30;0.282993;0.228293
equal;Минимизация ВрЗ;1;0.354610;0.305895
equal;Минимизация ВрЗ;2;0.354610;0.305895
equal;Минимизация ВрЗ;3;0.354610;0.305895
equal;Минимизация ВрЗ;4;0.354610;0.305895
equal;Минимизация ВрЗ;5;0.354610;0.305895
equal;Минимизация ВрЗ;6;0.354610;0.305895
equal;Минимизация ВрЗ;7;0.354610;0.305895
equal;Минимизация ВрЗ;8;0.354610;0.305895
equal;Минимизация ВрЗ;9;0.354610;0.305895
equal;Минимизация ВрЗ;10;0.354610;0.305895
equal;Минимизация ВрЗ;11;0.354610;0.305895
equal;Минимизация ВрЗ;12;0.354610;0.305895
equal;Минимизация ВрЗ;13;0.354610;0.305895
equal;Минимизация ВрЗ;14;0.354610;0.305895
equal;Минимизация ВрЗ;15;0.354610;0.305895
equal;Минимизация ВрЗ;16;0.354610;0.305895
equal;Минимизация ВрЗ;17;0.354610;0.305895
equal;Минимизация ВрЗ;18;0.354610;0.305895
equal;Минимизация ВрЗ;19;0.354610;0.305895
equal;Минимизация ВрЗ;20;0.354610;0.305895
equal;Минимизация ВрЗ;21;0.354610;0.305895
equal;Минимизация ВрЗ;22;0.354610;0.305895
equal;Минимизация ВрЗ;23;0.354610;0.305895
equal;Минимизация ВрЗ;24;0.354610;0.305895
equal;Минимизация ВрЗ;25;0.354610;0.305895
equal;Минимизация ВрЗ;26;0.354610;0.305895
equal;Минимизация ВрЗ;27;0.354610;0.305895
equal;Минимизация ВрЗ;28;0.354610;0.305895
equal;Минимизация ВрЗ;29;0.354610;0.305895
equal;Минимизация ВрЗ;30;0.354610;0.305895
equal;Прямого перебора;1;0.000000;0.175452
equal;Прямого перебора;2;0.000000;0.175452
equal;Прямого перебора;3;0.000000;0.175452
equal;Прямого перебора;4;0.000000;0.175452
equal;Прямого перебора;5;0.000000;0.175452
equal;Прямого перебора;6;0.000000;0.175452
equal;Прямого перебора;7;0.000000;0.175452
equal;Прямого перебора;8;0.000000;0.175452
equal;Прямого перебора;9;0.000000;0.175452
equal;Прямого перебора;10;0.000000;0.175452
equal;Прямого перебора;11;0.000000;0.175452
equal;Прямого перебора;12;0.000000;0.175452
equal;Прямого перебора;13;0.000000;0.175452
equal;Прямого перебора;14;0.000000;0.175452
equal;Прямого перебора;15;0.000000;0.175452
equal;Прямого перебора;16;0.000000;0.175452
equal;Прямого перебора;17;0.000000;0.175452
equal;Прямого перебора;18;0.000000;0.175452
equal;Прямого перебора;19;0.000000;0.175452
equal;Прямого перебора;20;0.000000;0.175452
equal;Прямого перебора;21;0.000000;0.175452
equal;Прямого перебора;22;0.000000;0.175452
equal;Прямого перебора;23;0.000000;0.175452
equal;Прямого перебора;24;0.000000;0.175452
equal;Прямого перебора;25;0.000000;0.175452
equal;Прямого перебора;26;0.000000;0.175452
equal;Прямого перебора;27;0.000000;0.175452
equal;Прямого перебора;28;0.000000;0.175452
equal;Прямого перебора;29;0.000000;0.175452
equal;Прямого перебора;30;0.000000;0.175452
equal;Рыночных методов;1;0.275177;0.225023
equal;Рыночных методов;2;0.275177;0.225023
equal;Рыночных методов;3;0.275177;0.225023
equal;Рыночных методов;4;0.275177;0.225023
equal;Рыночных методов;5;0.275177;0.225023
equal;Рыночных методов;6;0.275177;0.225023
equal;Рыночных методов;7;0.275177;0.225023
equal;Рыночных методов;8;0.275177;0.225023
equal;Рыночных методов;9;0.275177;0.225023
equal;Рыночных методов;10;0.275177;0.225023
equal;Рыночных методов;11;0.275177;0.225023
equal;Рыночных методов;12;0.275177;0.225023
equal;Рыночных методов;13;0.275177;0.225023
equal;Рыночных методов;14;0.275177;0.225023
equal;Рыночных методов;15;0.275177;0.225023
equal;Рыночных методов;16;0.275177;0.225023
equal;Рыночных методов;17;0.275177;0.225023
equal;Рыночных методов;18;0.275177;0.225023
equal;Рыночных методов;19;0.275177;0.225023
equal;Рыночных методов;20;0.275177;0.225023
equal;Рыночных методов;21;0.275177;0.225023
equal;Рыночных методов;22;0.275177;0.225023
equal;Рыночных методов;23;0.275177;0.225023
equal;Рыночных методов;24;0.275177;0.225023
equal;Рыночных методов;25;0.275177;0.225023
equal;Рыночных методов;26;0.275177;0.225023
equal;Рыночных методов;27;0.275177;0.225023
equal;Рыночных методов;28;0.275177;0.225023
equal;Рыночных методов;29;0.275177;0.225023
equal;Рыночных методов;30;0.275177;0.225023
equal;Энергосберегающая;1;0.300000;0.220573
equal;Энергосберегающая;2;0.300000;0.220573
equal;Энергосберегающая;3;0.300000;0.220573
equal;Энергосберегающая;4;0.300000;0.220573
equal;Энергосберегающая;5;0.300000;0.220573
equal;Энергосберегающая;6;0.300000;0.220573
equal;Энергосберегающая;7;0.300000;0.220573
equal;Энергосберегающая;8;0.300000;0.220573
equal;Энергосберегающая;9;0.300000;0.220573
equal;Энергосберегающая;10;0.300000;0.220573
equal;Энергосберегающая;11;0.300000;0.220573
equal;Энергосберегающая;12;0.300000;0.220573
equal;Энергосберегающая;13;0.300000;0.220573
equal;Энергосберегающая;14;0.300000;0.220573
equal;Энергосберегающая;15;0.300000;0.220573
equal;Энергосберегающая;16;0.300000;0.220573
equal;Энергосберегающая;17;0.300000;0.220573
equal;Энергосберегающая;18;0.300000;0.220573
equal;Энергосберегающая;19;0.300000;0.220573
equal;Энергосберегающая;20;0.300000;0.220573
equal;Энергосберегающая;21;0.300000;0.220573
equal;Энергосберегающая;22;0.300000;0.220573
equal;Энергосберегающая;23;0.300000;0.220573
equal;Энергосберегающая;24;0.300000;0.220573
equal;Энергосберегающая;25;0.300000;0.220573
equal;Энергосберегающая;26;0.300000;0.220573
equal;Энергосберегающая;27;0.300000;0.220573
equal;Энергосберегающая;28;0.300000;0.220573
equal;Энергосберегающая;29;0.300000;0.220573
equal;Энергосберегающая;30;0.300000;0.220573
max;RL (Q-learning);1;0.365517;0.355255
max;RL (Q-learning);2;0.365517;0.355255
max;RL (Q-learning);3;0.365517;0.355255
max;RL (Q-learning);4;0.365517;0.355255
max;RL (Q-learning);5;0.365517;0.358016
max;RL (Q-learning);6;0.365517;0.355255
max;RL (Q-learning);7;0.353216;0.347277
max;RL (Q-learning);8;0.365517;0.355255
max;RL (Q-learning);9;0.365517;0.355255
max;RL (Q-learning);10;0.365517;0.355255
max;RL (Q-learning);11;0.365517;0.355255
max;RL (Q-learning);12;0.365517;0.355255
max;RL (Q-learning);13;0.365517;0.355255
max;RL (Q-learning);14;0.365517;0.353142
max;RL (Q-learning);15;0.339181;0.335876
max;RL (Q-learning);16;0.332164;0.334535
max;RL (Q-learning);17;0.356322;0.348516
max;RL (Q-learning);18;0.356322;0.348516
max;RL (Q-learning);19;0.356322;0.348516
max;RL (Q-learning);20;0.356322;0.348516
max;RL (Q-learning);21;0.374713;0.359177
max;RL (Q-learning);22;0.370115;0.352454
max;RL (Q-learning);23;0.348538;0.346744
max;RL (Q-learning);24;0.370115;0.354137
max;RL (Q-learning);25;0.348538;0.346744
max;RL (Q-learning);26;0.370115;0.354137
max;RL (Q-learning);27;0.348538;0.346744
max;RL (Q-learning);28;0.374713;0.359177
max;RL (Q-learning);29;0.370115;0.352454
max;RL (Q-learning);30;0.356322;0.346964
max;Минимизация ВрЗ;1;0.453801;0.433959
