Сценарий,Стратегия,Выполнено задач,Использовано энергии,Всего энергии,% выполнения,Ср. энергия на задачу,Общее время (µs)
equal,RL (Q-learning),232,272376.66,383500.00,74.1%,1174.04,13127.443
equal,Минимизация ВрЗ,238,293811.38,383500.00,76.0%,1234.50,60513.722
equal,Прямого перебора,234,289571.38,383500.00,74.8%,1237.48,4353.535
equal,Рыночных методов,222,292450.55,383500.00,70.9%,1317.34,11848.860
equal,Энергосберегающая,243,285192.56,383500.00,77.6%,1173.63,10096.586
max,RL (Q-learning),293,354773.60,767000.00,93.6%,1210.83,23897.207
max,Минимизация ВрЗ,302,369680.44,767000.00,96.5%,1224.11,73240.040
max,Прямого перебора,302,369680.44,767000.00,96.5%,1224.11,8578.898
max,Рыночных методов,297,368319.60,767000.00,94.9%,1240.13,15493.658
max,Энергосберегающая,304,369680.44,767000.00,97.1%,1216.05,11791.244
min,RL (Q-learning),156,172217.30,191700.00,49.8%,1103.96,18038.570
min,Минимизация ВрЗ,137,176180.79,191700.00,43.8%,1285.99,41043.948
min,Прямого перебора,137,174554.89,191700.00,43.8%,1274.12,4199.279
min,Рыночных методов,120,176180.79,191700.00,38.3%,1468.17,9898.297
min,Энергосберегающая,160,173814.89,191700.00,51.1%,1086.34,8693.343
